Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
313;21100886400;"Education and Self Development";journal;"19917740";0,193;Q3;10;54;200;1518;101;186;0,48;28,11;-;0;26;Russian Federation;Eastern Europe;"Kazan Federal University";"2018-2024";"Political Science and International Relations (Q3); Development (Q4); Education (Q4)";"Social Sciences"
314;21101049074;"Gosudarstvo i Pravo";journal;"10269452";0,193;Q3;7;174;706;3854;164;703;0,28;22,15;-;0;50;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2011, 2016, 2020-2024";"Law (Q3)";"Social Sciences"
315;34885;"Izvestiya Vysshikh Uchebnykh Zavedenij. Chernaya Metallurgiya";journal;"03680797";0,193;Q4;14;87;307;2130;136;305;0,39;24,48;-;0;12;Russian Federation;Eastern Europe;"Moskovskii Gosudarstvennyi Institut Stali i Splavov";"1971, 1975-1988, 2001-2004, 2017-2024";"Materials Science (miscellaneous) (Q4); Metals and Alloys (Q4)";"Materials Science"
316;20300195027;"Macroheterocycles";journal;"19989539";0,193;Q4;22;28;104;1355;84;103;1,07;48,39;-;0;3;Russian Federation;Eastern Europe;"Ivanovo State University of Chemistry and Technology";"2008-2024";"Analytical Chemistry (Q4); Organic Chemistry (Q4)";"Chemistry"
317;21101034433;"Musical Art and Education";journal;"23091428";0,193;Q2;5;34;130;636;30;130;0,18;18,71;-;0;3;Russian Federation;Eastern Europe;"Moscow Pedagogical State University";"2019-2024";"Music (Q2); Developmental and Educational Psychology (Q4); Education (Q4)";"Arts and Humanities; Psychology; Social Sciences"
318;21100831809;"Actual Problems of Theory and History of Art";journal;"23122129";0,192;Q1;5;60;210;2833;55;209;0,21;47,22;-;0;6;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2011-2024";"Visual Arts and Performing Arts (Q1); Conservation (Q2); History (Q2)";"Arts and Humanities"
319;21100869498;"South of Russia: Ecology, Development";journal;"24130958, 19921098";0,192;Q3;10;73;218;2056;116;218;0,49;28,16;-;0;37;Russian Federation;Eastern Europe;"Kamerton";"2018-2024";"Geography, Planning and Development (Q3); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Environmental Science; Social Sciences"
320;21100925895;"Vestnik Tomskogo Gosudarstvennogo Universiteta - Upravlenie, Vychislitel'naya Tekhnika i Informatika";journal;"23112085, 19988605";0,192;Q4;3;25;153;439;25;153;0,17;17,56;-;0;1;Russian Federation;Eastern Europe;"Tomsk State University";"2019-2024";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science"
321;16400154782;"Contemporary Problems of Ecology";journal;"19954255, 19954263";0,191;Q4;25;103;264;4247;139;264;0,50;41,23;-;0;30;Russian Federation;Eastern Europe;"";"2008-2024";"Environmental Science (miscellaneous) (Q4)";"Environmental Science"
322;21100924752;"Geology and Mineral Resources of Siberia";journal;"23119594, 20780575";0,191;Q4;6;41;164;830;63;163;0,49;20,24;-;0;1;Russian Federation;Eastern Europe;"Siberian Research Institute of Geology, Geophysics and Mineral Resources";"2019-2024";"Geochemistry and Petrology (Q4); Geology (Q4); Geophysics (Q4)";"Earth and Planetary Sciences"
323;21101017014;"Russian Journal of Clinical Ophthalmology";journal;"23117729, 26191571";0,191;Q4;6;34;120;947;65;120;0,58;27,85;-;0;7;Russian Federation;Eastern Europe;"Medicine-Inform LLC";"2019-2024";"Ophthalmology (Q4)";"Medicine"
324;21100790339;"Integration of Education";journal;"19919468, 23081058";0,190;Q2;12;37;117;1315;90;117;0,85;35,54;-;0;18;Russian Federation;Eastern Europe;"National Research Ogarev Mordovia State University";"2016-2024";"Cultural Studies (Q2); Linguistics and Language (Q2); Developmental and Educational Psychology (Q4); Education (Q4)";"Psychology; Social Sciences"
325;21101000293;"Mekhatronika, Avtomatizatsiya, Upravlenie";journal;"16846427, 26191253";0,190;Q4;6;69;219;1473;97;219;0,50;21,35;-;0;13;Russian Federation;Eastern Europe;"New Technologies Publishing House";"2019-2025";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Engineering"
326;21100786529;"Mezhdunarodnye Protsessy";journal;"17282756, 18112773";0,190;Q2;8;16;90;534;30;90;0,32;33,38;-;0;8;Russian Federation;Eastern Europe;"Academic Educational Forum on International Relations";"2015-2024";"Cultural Studies (Q2); History (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Political Science and International Relations (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
327;21101083151;"Rossijskij Osteopaticeskij Zurnal";journal;"22200975";0,190;Q4;7;44;162;894;69;139;0,48;20,32;-;0;5;Russian Federation;Eastern Europe;"Russian Osteopathic Association";"2019-2024";"Complementary and Alternative Medicine (Q4); Complementary and Manual Therapy (Q4); Medicine (miscellaneous) (Q4)";"Health Professions; Medicine"
328;21101068707;"I.P. Pavlov Russian Medical Biological Herald";journal;"25002546, 02043475";0,189;Q4;8;64;184;1479;97;183;0,62;23,11;-;0;29;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2019-2024";"Medicine (miscellaneous) (Q4)";"Medicine"
329;21101087787;"Photonics Russia";journal;"2686844X, 19937296";0,189;Q3;7;48;143;850;53;140;0,36;17,71;-;0;0;Russian Federation;Eastern Europe;"Technosphera Publishing House";"2019-2024";"Industrial and Manufacturing Engineering (Q3); Atomic and Molecular Physics, and Optics (Q4); Electronic, Optical and Magnetic Materials (Q4); Instrumentation (Q4)";"Engineering; Materials Science; Physics and Astronomy"
330;21101038707;"Siberian Journal of Life Sciences and Agriculture";journal;"26586649, 26586657";0,189;Q3;10;106;395;3020;177;395;0,47;28,49;-;0;41;Russian Federation;Eastern Europe;"Science and Innovation Center Publishing House";"2018-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
331;21101149136;"Vestnik Rossijskoj Voenno-Medicinskoj Akademii";journal;"26871424, 16827392";0,189;Q3;5;59;281;1335;48;281;0,22;22,63;-;0;23;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2019-2024";"Internal Medicine (Q3); Medical Laboratory Technology (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Surgery (Q3)";"Health Professions; Medicine; Pharmacology, Toxicology and Pharmaceutics"
332;21100855747;"Vestnik Tomskogo Gosudarstvennogo Universiteta, Matematika i Mekhanika";journal;"23112255, 19988621";0,189;Q4;10;13;227;174;91;227;0,37;13,38;-;0;0;Russian Federation;Eastern Europe;"Tomsk State University";"2017-2024";"Computational Mechanics (Q4); Mathematics (miscellaneous) (Q4); Mechanical Engineering (Q4); Mechanics of Materials (Q4)";"Engineering; Mathematics"
333;21100978910;"Chimica Techno Acta";journal;"24111414, 24095613";0,188;Q4;8;52;188;2358;157;185;0,88;45,35;-;0;15;Russian Federation;Eastern Europe;"Ural Federal University";"2019-2025";"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Materials Chemistry (Q4)";"Chemical Engineering; Chemistry; Materials Science"
334;21101072352;"Journal of Tax Reform";journal;"24128872, 24149497";0,187;Q3;6;36;66;1694;73;66;1,19;47,06;-;0;35;Russian Federation;Eastern Europe;"Ural Federal University";"2019-2024";"Law (Q3); Accounting (Q4); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
335;21101038677;"Vestnik Moskovskogo Universiteta. Seriya 10. Zhurnalistika";journal;"03208079, 26583526";0,187;Q3;5;40;135;1029;57;134;0,40;25,73;-;0;1;Russian Federation;Eastern Europe;"MSU Publishing House";"2019-2024";"Communication (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
336;21100972429;"Architecture and Engineering";journal;"25000055";0,186;Q3;10;32;104;932;71;104;0,87;29,13;-;0;13;Russian Federation;Eastern Europe;"St. Petersburg State University of Architecture and Civil Engineering";"2019-2024";"Architecture (Q3); Building and Construction (Q4); Mechanics of Materials (Q4)";"Engineering"
337;21101044727;"Informatics and Automation";journal;"27133206, 27133192";0,186;Q4;14;64;142;2394;121;142;0,90;37,41;-;0;8;Russian Federation;Eastern Europe;"St. Petersburg Federal Research Center of the  Russian Academy of Sciences";"2020-2025";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Information Systems (Q4)";"Computer Science; Mathematics"
338;21101268226;"National Psychological Journal";journal;"20796617, 23099828";0,186;Q4;4;52;65;1959;34;65;0,55;37,67;-;0;11;Russian Federation;Eastern Europe;"Lomonosov Moscow State University";"2020-2021, 2023-2024";"Applied Psychology (Q4); Education (Q4); Experimental and Cognitive Psychology (Q4); Psychology (miscellaneous) (Q4)";"Psychology; Social Sciences"
339;21101038741;"Finance: Theory and Practice";journal;"25877089, 25875671";0,185;Q3;12;108;274;3135;180;274;0,58;29,03;-;0;64;Russian Federation;Eastern Europe;"Financial University under The Government of Russian Federation";"2017-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Business and International Management (Q4); Development (Q4); Finance (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
340;21101193859;"Literary Fact";journal;"25422421, 25418297";0,185;Q1;3;64;153;1183;15;152;0,09;18,48;-;0;2;Russian Federation;Eastern Europe;"Russian Academy of Sciences-A.M. Gorky Institute of World Literature";"2019-2024";"Literature and Literary Theory (Q1)";"Arts and Humanities"
341;21100815316;"Rational Pharmacotherapy in Cardiology";journal;"18196446, 22253653";0,185;Q4;15;72;304;2391;223;304;0,78;33,21;-;0;49;Russian Federation;Eastern Europe;"Stolichnaya Izdatelskaya Kompaniya";"2012-2024";"Cardiology and Cardiovascular Medicine (Q4); Pharmacology (medical) (Q4)";"Medicine"
342;21101032112;"Vestnik Sankt-Peterburgskogo Universiteta Vostokovedenie i Afrikanistika";journal;"25875892, 20741227";0,185;Q1;3;42;142;964;13;142;0,12;22,95;-;0;6;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2019-2024";"Literature and Literary Theory (Q1); History (Q2); Linguistics and Language (Q2); Political Science and International Relations (Q3); Geography, Planning and Development (Q4)";"Arts and Humanities; Social Sciences"
343;21101037294;"Religiovedenie";journal;"20728662, 27127575";0,184;Q2;3;60;180;1535;18;179;0,12;25,58;-;0;7;Russian Federation;Eastern Europe;"Amur State University";"2019-2024";"Cultural Studies (Q2); Linguistics and Language (Q2); Religious Studies (Q2); Economics and Econometrics (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
344;21100901901;"Biological Communications";journal;"25875779, 25422154";0,183;Q3;13;20;91;796;57;89;0,59;39,80;-;0;5;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2017-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
345;21100929891;"Changing Societies and Personalities";journal;"25876104, 25878964";0,183;Q2;7;51;121;2528;61;110;0,48;49,57;-;0;18;Russian Federation;Eastern Europe;"Ural University Press";"2017-2024";"Cultural Studies (Q2); Sociology and Political Science (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
346;21100944725;"Marine Biological Journal";journal;"24999776, 24999768";0,183;Q4;10;38;107;1309;55;107;0,37;34,45;-;0;12;Russian Federation;Eastern Europe;"A.O. Kovalevsky Institute of Biology of the Southern Seas of RAS";"2016-2024";"Aquatic Science (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Environmental Science"
347;21100942914;"Organizatsionnaya Psikhologiya";journal;"23125942";0,183;Q4;6;49;139;2803;84;137;0,62;57,20;-;0;12;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2019-2024";"Applied Psychology (Q4); Organizational Behavior and Human Resource Management (Q4); Social Psychology (Q4)";"Business, Management and Accounting; Psychology"
348;5800156836;"Voprosy Jazykoznanija";journal;"0373658X";0,183;Q2;8;39;117;1654;33;115;0,24;42,41;-;0;0;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2009-2025";"Linguistics and Language (Q2)";"Social Sciences"
349;21100829239;"Applied Econometrics";journal;"19937601, 24106445";0,182;Q3;13;18;80;653;42;78;0,48;36,28;-;0;7;Russian Federation;Eastern Europe;"Russian Presidential Academy of National Economy and Public Administration";"2006-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance"
350;21100323400;"Ekologiya Cheloveka (Human Ecology)";journal;"17280869";0,182;Q4;16;30;235;834;106;234;0,38;27,80;-;0;17;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2012-2024";"Ecology (Q4); Health (social science) (Q4); Medicine (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Environmental Science; Medicine; Social Sciences"
351;21101038514;"Russian Journal of Anesthesiology and Reanimatology /Anesteziologiya i Reanimatologiya";journal;"02017563, 24104698";0,182;Q3;12;71;231;2130;163;219;0,71;30,00;-;0;22;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"1976-2016, 2018-2024";"Anesthesiology and Pain Medicine (Q3); Critical Care and Intensive Care Medicine (Q3); Emergency Medical Services (Q3); Emergency Medicine (Q3); Law (Q3); Pathology and Forensic Medicine (Q4)";"Health Professions; Medicine; Social Sciences"
352;21101064228;"Philosophy of Religion: Analytic Researches";journal;"2587683X, 26584891";0,181;Q2;2;17;53;400;11;53;0,27;23,53;-;0;0;Russian Federation;Eastern Europe;"Institute of Philosophy of the Russian Academy of Sciences";"2019-2024";"Philosophy (Q2); Religious Studies (Q2)";"Arts and Humanities"
353;21101071950;"Antichnaya Drevnost' i Srednie Veka";journal;"26870398, 03204472";0,180;Q1;3;25;70;827;17;70;0,24;33,08;-;0;2;Russian Federation;Eastern Europe;"Ural Federal University";"2019-2024";"Classics (Q1); Archeology (arts and humanities) (Q2); Arts and Humanities (miscellaneous) (Q2); History (Q2)";"Arts and Humanities"
354;21100821112;"Russian Journal of Infection and Immunity";journal;"22207619, 23137398";0,180;Q4;14;126;357;3652;221;357;0,66;28,98;-;0;99;Russian Federation;Eastern Europe;"Saint Petersburg Pasteur Institute";"2017-2024";"Immunology (Q4); Immunology and Allergy (Q4); Infectious Diseases (Q4)";"Immunology and Microbiology; Medicine"
355;21100967532;"Annals of HPB Surgery";journal;"19955464, 24089524";0,178;Q3;7;59;167;1186;89;163;0,48;20,10;-;0;15;Russian Federation;Eastern Europe;"VIDAR Publishing House";"2019-2024";"Surgery (Q3); Gastroenterology (Q4); Hepatology (Q4)";"Medicine"
356;21101039621;"Clinical and Experimental Morphology";journal;"22265988, 26866749";0,178;Q4;5;37;102;910;81;102;0,79;24,59;-;0;19;Russian Federation;Eastern Europe;"MDV Group";"2019-2025";"Cancer Research (Q4); Cell Biology (Q4); Molecular Medicine (Q4); Pathology and Forensic Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
357;21100855805;"Computer Research and Modeling";journal;"20767633, 20776853";0,178;Q4;12;108;268;3076;103;248;0,40;28,48;-;0;22;Russian Federation;Eastern Europe;"Institute of Computer Science";"2017-2024";"Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
358;21101055893;"Geosfernye Issledovaniya";journal;"25419943, 25421379";0,178;Q4;5;36;121;1377;37;120;0,34;38,25;-;0;9;Russian Federation;Eastern Europe;"Faculty of Geology and Geography, Tomsk State University";"2019-2024";"Earth and Planetary Sciences (miscellaneous) (Q4); Ecology (Q4); Geography, Planning and Development (Q4)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
359;21100843325;"Supercomputing Frontiers and Innovations";journal;"23138734, 24096008";0,178;Q4;19;27;80;811;52;80;0,64;30,04;-;0;4;Russian Federation;Eastern Europe;"South Ural State University";"2014-2024";"Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Software (Q4)";"Computer Science"
360;21101052865;"Detskie Chtenia";journal;"26867052, 23045817";0,177;Q1;3;29;118;881;16;113;0,14;30,38;-;0;2;Russian Federation;Eastern Europe;"Institute of Russian Literature (The Pushkin House), Russian Academy of Sciences";"2019-2024";"Literature and Literary Theory (Q1); Education (Q4)";"Arts and Humanities; Social Sciences"
361;21101054413;"Filosofiya Nauki i Tehniki";journal;"26587297, 24139084";0,177;Q3;3;24;75;533;20;75;0,33;22,21;-;0;1;Russian Federation;Eastern Europe;"Institute of Philosophy, Russian Academy of Science";"2019-2024";"History and Philosophy of Science (Q3)";"Arts and Humanities"
362;21101038808;"Sorbtsionnye i Khromatograficheskie Protsessy";journal;"16800613";0,177;Q4;6;87;287;2355;117;286;0,42;27,07;-;0;12;Russian Federation;Eastern Europe;"Voronezh State University";"2019-2024";"Analytical Chemistry (Q4); Colloid and Surface Chemistry (Q4); Physical and Theoretical Chemistry (Q4); Polymers and Plastics (Q4)";"Chemical Engineering; Chemistry; Materials Science"
363;110337;"Zhurnal Nevrologii i Psihiatrii imeni S.S. Korsakova";journal;"23094729, 19977298";0,177;Q3;23;345;1089;12271;704;1082;0,63;35,57;-;0;94;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"1952-2025";"History and Philosophy of Science (Q3); Clinical Psychology (Q4); Neurology (Q4); Neurology (clinical) (Q4); Psychiatry and Mental Health (Q4)";"Arts and Humanities; Medicine; Neuroscience; Psychology"
364;21100995058;"Condensed Matter and Interphases";journal;"26870711, 1606867X";0,176;Q4;7;68;180;2861;118;179;0,58;42,07;-;0;6;Russian Federation;Eastern Europe;"Voronezh State University";"2019-2024";"Atomic and Molecular Physics, and Optics (Q4); Condensed Matter Physics (Q4); Electrochemistry (Q4); Electronic, Optical and Magnetic Materials (Q4); Inorganic Chemistry (Q4); Materials Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry; Materials Science; Physics and Astronomy"
365;21100415616;"Sel'skokhozyaistvennaya Biologiya";journal;"23134836, 01316397";0,176;Q4;19;86;267;5169;205;267;0,81;60,10;-;0;35;Russian Federation;Eastern Europe;"Russian Academy of Agricultural Sciences";"2014-2024";"Agricultural and Biological Sciences (miscellaneous) (Q4)";"Agricultural and Biological Sciences"
366;85085;"Urologiia";journal;"17282985";0,176;Q4;14;137;409;3270;182;408;0,43;23,87;-;0;41;Russian Federation;Eastern Europe;"Meditsina Publishers";"1999-2024";"Urology (Q4)";"Medicine"
367;21101152124;"Psychology and Law";journal;"22225196";0,175;Q4;4;66;135;2126;61;133;0,45;32,21;-;0;15;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2022-2024";"Applied Psychology (Q4); Clinical Psychology (Q4); Experimental and Cognitive Psychology (Q4); Social Psychology (Q4)";"Psychology"
368;21100780829;"Ekonomicheskaya Sotsiologiya";journal;"17263247";0,174;Q3;8;33;86;2049;32;83;0,38;62,09;-;0;16;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2016-2024";"Sociology and Political Science (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
369;21101005186;"Research Results in Pharmacology";journal;"2658381X";0,174;Q3;11;45;125;1263;64;125;0,52;28,07;-;0;16;Russian Federation;Eastern Europe;"Belgorod State National Research University";"2018-2024";"Pharmaceutical Science (Q3); Pharmacology (Q4); Pharmacology (medical) (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
370;21101253655;"Russian Military Medical Academy Reports";journal;"27132315, 27132323";0,174;Q3;4;48;152;1038;32;152;0,26;21,63;-;0;18;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2020-2024";"Surgery (Q3); Epidemiology (Q4); Medicine (miscellaneous) (Q4); Pharmacology (medical) (Q4)";"Medicine"
371;21101084975;"Solov'evskie Issledovania";journal;"20769210";0,174;Q2;2;44;144;1122;17;135;0,16;25,50;-;0;0;Russian Federation;Eastern Europe;"Ivanovo State Power Engineering University";"2019-2024";"Philosophy (Q2)";"Arts and Humanities"
372;21101039251;"Rossiiskii Oftal'mologicheskii Zhurnal";journal;"25875760, 20720076";0,173;Q4;7;74;313;2179;106;313;0,34;29,45;-;0;8;Russian Federation;Eastern Europe;"Real Time Ltd.";"2019-2024";"Ophthalmology (Q4)";"Medicine"
373;20906;"Zhurnal Mikrobiologii Epidemiologii i Immunobiologii";journal;"26867613, 03729311";0,173;Q4;15;69;193;2410;157;193;0,87;34,93;-;0;44;Russian Federation;Eastern Europe;"Central Research Institute for Epidemiology";"1945-1947, 1954-2016, 2019-2024";"Epidemiology (Q4); Immunology (Q4); Immunology and Microbiology (miscellaneous)  (Q4); Medicine (miscellaneous) (Q4); Microbiology (medical) (Q4); Public Health, Environmental and Occupational Health (Q4); Virology (Q4)";"Immunology and Microbiology; Medicine"
374;21101051209;"Chelovek";journal;"02362007";0,172;Q2;3;57;188;1474;28;185;0,19;25,86;-;0;9;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2019, 2021-2024";"Philosophy (Q2)";"Arts and Humanities"
375;21101079410;"Kutafin Law Review";journal;"27130525, 27130533";0,172;Q3;4;43;101;1220;70;98;0,94;28,37;-;0;16;Russian Federation;Eastern Europe;"Kutafin Moscow State Law University (MSAL)";"2021-2024";"Law (Q3)";"Social Sciences"
376;21100902659;"Zapiski Rossiiskogo Mineralogicheskogo Obshchestva";journal;"08696055";0,172;Q4;8;0;60;0;31;60;0,89;0,00;-;0;0;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2016-2023";"Economic Geology (Q4); Geochemistry and Petrology (Q4); Geology (Q4); Materials Chemistry (Q4)";"Earth and Planetary Sciences; Materials Science"
377;21100824612;"Oftalmologiya";journal;"18165095, 25000845";0,171;Q4;10;110;387;3153;183;387;0,52;28,66;-;0;11;Russian Federation;Eastern Europe;"Ophthalmology Publishing Group";"2017-2024";"Ophthalmology (Q4)";"Medicine"
378;21100850743;"Radioelektronika, Nanosistemy, Informacionnye Tehnologii";journal;"22183000, 24141267";0,171;Q4;8;96;130;2456;61;130;0,60;25,58;-;0;13;Russian Federation;Eastern Europe;"Russian Academy of Natural Science";"2017-2024";"Computer Networks and Communications (Q4); Electronic, Optical and Magnetic Materials (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Materials Science (miscellaneous) (Q4)";"Computer Science; Materials Science"
379;21101101865;"Theory and Practice of Meat Processing";journal;"2414438X, 2414441X";0,171;Q4;8;36;113;1847;86;113;0,71;51,31;-;0;10;Russian Federation;Eastern Europe;"V.M. Gorbatov Federal Research Center for Food Systems of the Russian Academy of Sciences";"2019-2024";"Animal Science and Zoology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences"
380;21100894498;"Vestnik Tomskogo Gosudarstvennogo Universiteta, Biologiya";journal;"23112077, 19988591";0,171;Q4;8;31;107;1219;42;107;0,33;39,32;-;0;12;Russian Federation;Eastern Europe;"Tomsk State University";"2018-2024";"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry (Q4); Environmental Science (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
381;20464;"Angiologiya i Sosudistaya Khirurgiya";journal;"10276661";0,170;Q4;12;40;227;894;50;226;0,21;22,35;-;0;13;Russian Federation;Eastern Europe;"Geotar Media Publishing Group";"2003-2024";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
382;21101028329;"Food Processing: Techniques and Technology";journal;"20749414, 23131748";0,170;Q4;9;68;225;2840;195;225;0,88;41,76;-;0;12;Russian Federation;Eastern Europe;"Kemerovo State University";"2019-2024";"Economics, Econometrics and Finance (miscellaneous) (Q4); Food Science (Q4); Industrial and Manufacturing Engineering (Q4)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Engineering"
383;21100981225;"Gynecology";journal;"20795831, 20795696";0,170;Q4;9;51;272;1601;171;272;0,69;31,39;-;0;25;Russian Federation;Eastern Europe;"Consilium MediCum";"2018-2024";"Obstetrics and Gynecology (Q4)";"Medicine"
384;21101117322;"Literature of the Americas";journal;"2542243X, 25417894";0,170;Q1;3;32;88;517;15;88;0,10;16,16;-;0;4;Russian Federation;Eastern Europe;"Russian Academy of Sciences-A.M. Gorky Institute of World Literature";"2019-2024";"Literature and Literary Theory (Q1)";"Arts and Humanities"
385;13617;"Russian Journal of Marine Biology";journal;"16083377, 10630740";0,170;Q4;30;60;223;2319;121;223;0,41;38,65;-;0;12;Russian Federation;Eastern Europe;"";"1996-2024";"Aquatic Science (Q4); Oceanography (Q4)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
386;21101201499;"Galactica Media: Journal of Media Studies";journal;"26587734";0,169;Q2;2;60;50;2250;20;50;0,40;37,50;-;0;10;Russian Federation;Eastern Europe;"LLC Scientific Industrial Enterprise “Genesis. Frontier. Science”";"2023-2024";"Cultural Studies (Q2); Philosophy (Q2); Anthropology (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
387;21101141646;"Public Health and Life Environment";journal;"26190788, 22195238";0,169;Q4;7;107;381;3221;154;374;0,45;30,10;-;0;72;Russian Federation;Eastern Europe;"Federal Center for Hygiene and Epidemiology";"2019-2024";"Epidemiology (Q4); Health Informatics (Q4); Medicine (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine"
388;19336;"Zhurnal Voprosy Nejrokhirurgii Imeni N.N. Burdenko";journal;"00428817, 23091681";0,169;Q3;15;87;255;2030;120;251;0,48;23,33;-;0;9;Russian Federation;Eastern Europe;"Media Sphera Publishing House";"1945-2025";"Surgery (Q3); Medicine (miscellaneous) (Q4); Neurology (clinical) (Q4)";"Medicine"
389;21101012656;"Drug Development and Registration";journal;"26585049, 23052066";0,168;Q3;8;92;337;2518;169;325;0,53;27,37;-;0;21;Russian Federation;Eastern Europe;"";"2019-2024";"Pharmaceutical Science (Q3); Pharmacy (Q3); Drug Discovery (Q4)";"Health Professions; Pharmacology, Toxicology and Pharmaceutics"
390;21101037305;"Russian Psychological Journal";journal;"18121853, 24115789";0,168;Q2;5;58;153;2638;82;153;0,54;45,48;-;0;19;Russian Federation;Eastern Europe;"Russian Psychological Society";"2019-2024";"Philosophy (Q2); Cognitive Neuroscience (Q4); Education (Q4); Psychology (miscellaneous) (Q4)";"Arts and Humanities; Neuroscience; Psychology; Social Sciences"
391;21101274784;"Istoriko-Filosofskii Ezhegodnik";journal;"27826538, 01348655";0,167;Q2;2;11;41;427;5;41;0,11;38,82;-;0;1;Russian Federation;Eastern Europe;"Institute of Philosophy, Russian Academy of Sciences";"2021-2024";"History (Q2); Philosophy (Q2)";"Arts and Humanities"
392;21101202297;"Limnology and Freshwater Biology";journal;"26583518";0,167;Q4;3;177;172;2946;75;170;0,44;16,64;-;0;30;Russian Federation;Eastern Europe;"Limnological Institute SB RAS";"2022-2024";"Aquatic Science (Q4); Oceanography (Q4)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
