Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
229;29675;"Meditsina Truda I Promyshlennaya Ekologiya";journal;"26188945, 10269428";0,215;Q3;14;100;370;2880;162;365;0,54;28,80;58,65;1;55;Russian Federation;Eastern Europe;"Izmerov Research Institute of Occupational Medicine";"1965-2016, 2019-2025";"Industrial and Manufacturing Engineering (Q3); Chemical Health and Safety (Q4); Public Health, Environmental and Occupational Health (Q4); Safety, Risk, Reliability and Quality (Q4)";"Chemical Engineering; Engineering; Medicine"
230;21747;"Pirogov Russian Journal of Surgery";journal;"00231207, 23095628";0,215;Q3;14;196;609;4410;270;604;0,38;22,50;31,30;0;62;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"1945-2025";"Surgery (Q3); Medicine (miscellaneous) (Q4)";"Medicine"
231;21100469656;"Radiation and Risk";journal;"2412950X, 01313878";0,215;Q3;10;50;145;1091;56;143;0,44;21,82;53,79;0;26;Russian Federation;Eastern Europe;"National Medical Research Radiological Centre of the Ministry of Health of the Russian Federation";"2016-2024";"Radiation (Q3); Nuclear and High Energy Physics (Q4); Public Health, Environmental and Occupational Health (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine; Physics and Astronomy"
232;21101038707;"Siberian Journal of Life Sciences and Agriculture";journal;"26586649, 26586657";0,215;Q3;10;141;299;4441;184;299;0,66;31,50;58,19;0;53;Russian Federation;Eastern Europe;"Science and Innovation Center Publishing House";"2018-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
233;21100211330;"Diabetes Mellitus";journal;"20720351, 20720378";0,214;Q3;21;64;175;2101;248;175;1,58;32,83;67,67;0;63;Russian Federation;Eastern Europe;"UP Print LLC";"2012-2024";"Internal Medicine (Q3); Endocrinology (Q4); Endocrinology, Diabetes and Metabolism (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
234;34885;"Izvestiya Vysshikh Uchebnykh Zavedenij. Chernaya Metallurgiya";journal;"03680797";0,214;Q3;14;96;332;2160;131;328;0,34;22,50;31,75;0;21;Russian Federation;Eastern Europe;"Moskovskii Gosudarstvennyi Institut Stali i Splavov";"1971, 1975-1988, 2001-2004, 2017-2024";"Materials Science (miscellaneous) (Q3); Metals and Alloys (Q3)";"Materials Science"
235;28901;"Tsvetnye Metally";journal;"03722929";0,213;Q3;17;139;408;4076;219;406;0,58;29,32;33,44;0;25;Russian Federation;Eastern Europe;"Izdatel'stvo Ruda i Metally";"1970-1971, 1975-1988, 2001-2005, 2013-2024";"Materials Chemistry (Q3); Metals and Alloys (Q3); Ceramics and Composites (Q4); Condensed Matter Physics (Q4); Physical and Theoretical Chemistry (Q4); Surfaces, Coatings and Films (Q4)";"Chemistry; Materials Science; Physics and Astronomy"
236;21100203318;"Cardiovascular Therapy and Prevention (Russian Federation)";journal;"17288800";0,212;Q3;26;246;521;5580;536;507;1,11;22,68;67,68;0;140;Russian Federation;Eastern Europe;"Vserossiiskoe Obshchestvo Kardiologov";"2011-2024";"Education (Q3); Cardiology and Cardiovascular Medicine (Q4)";"Medicine; Social Sciences"
237;21101170301;"Geomorfologiya i Paleogeografiya";journal;"29491797, 29491789";0,212;Q3;12;42;115;1640;47;113;0,31;39,05;50,81;0;5;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2023-2024";"Earth and Planetary Sciences (miscellaneous) (Q3); Earth-Surface Processes (Q3); Geology (Q4); Space and Planetary Science (Q4)";"Earth and Planetary Sciences"
238;21100920037;"Problemy Osobo Opasnykh Infektsii";journal;"2658719X, 03701069";0,212;Q4;11;60;194;1401;151;193;0,48;23,35;62,62;0;36;Russian Federation;Eastern Europe;"Russian Research Anti-Plague Institute";"2019-2024";"Epidemiology (Q4); Immunology (Q4); Infectious Diseases (Q4); Microbiology (Q4); Microbiology (medical) (Q4)";"Immunology and Microbiology; Medicine"
